x_split	fit_v1_file_name	fit_v1_file_time	fit_v1_parabola_a	fit_v1_parabola_b	fit_v1_parabola_c	fit_v1_parabola_a_err	fit_v1_parabola_b_err	fit_v1_parabola_c_err	fit_v1_line_m	fit_v1_line_q	fit_v1_line_m_err	fit_v1_line_q_err	fit_v1_d0	fit_v1_L	fit_v1_d0_err	fit_v1_L_err	fit_v1_x	fit_v1_d_signed	fit_v1_d_abs	fit_v1_d_fit	fit_v1_theta_x	fit_v1_theta	|	direct_pre_file_name	direct_pre_file_time	direct_post_file_name	direct_post_file_time	direct_sample_method	direct_n_samples	direct_registration_rmse	direct_d0	direct_L	direct_d0_err	direct_L_err	direct_x	direct_d_signed	direct_d_abs	direct_d_fit	direct_theta_x	direct_theta
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	0	0.03018772231	0.03018772231	0	24.611134	0	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	0	0.02419555502	0.02419555502	0	27.11081953	0
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	0.562832	0.02361208708	0.02361208708	0	25.327466	0.006337921622	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	0.2118032776	0.04312931938	0.04312931938	0	27.32262281	0.0008788469853
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	1.176832	0.01643864984	0.01643864984	0	26.043798	0.02535168494	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	0.4236065552	0.06228016125	0.06228016125	0	27.53442609	0.003515387937
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	1.790831	0.009265224282	0.009265224282	0	26.504298	0.04426847381	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	0.6354098328	0.07543384941	0.07543384941	0	27.74622937	0.007909622818
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	2.09783	0.005678517344	0.005678517344	0	26.913631	0.06548112287	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	0.8472131104	0.07548747969	0.07548747969	0	27.95803264	0.01406155148
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	2.609496	-0.0002993392364	0.0002993392364	0	27.629963	0.112562733	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	1.059016388	0.07561490769	0.07561490769	0	28.16983592	0.02197117356
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	3.172329	-0.006874986148	0.006874986148	0	28.243962	0.1630071528	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	1.270819666	0.05142779045	0.05142779045	0	28.3816392	0.03163848826
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	3.735161	-0.01345062138	0.01345062138	0	28.857961	0.2227640538	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	1.482622943	0.02494007741	0.02494007741	0	28.59344248	0.04306349417
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	4.297994	-0.02002626829	0.02002626829	0	29.523127	0.2980092354	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	1.694426221	-0.005193865118	0.005193865118	0	28.80524575	0.056246189
27	MBLG21_duringPush0007	161441	0.0003563629875	0.003093084961	0.002207987954	2.554607406e-05	0.001105579288	0.009853880998	0.01168312255	-0.03018772231	0.0005203904414	0.00706213478	0.3954574103	17.65530189	2690363.3	40037331.04	4.911993	-0.02719969385	0.02719969385	0	30.239459	0.3912638686	|	MBLG21_beforePush0002	160427	MBLG21_duringPush0007	161441	arc_length	200	0.04593324383	0.3878024978	15.04072803	6776460.61	87607225.5	1.906229498	-0.02792643107	0.02792643107	0	29.01704903	0.07118656919
