# X_um	Y_um
30.597626 2.596807
30.650839 3.288580
30.650839 3.927139
30.597626 4.512485
30.650839 5.204257
30.704052 5.896029
30.704052 6.534589
30.757266 6.960295
30.704052 7.758494
30.704052 8.343840
30.757266 8.982399
30.810479 9.567745
30.810479 10.153090
30.863692 10.738436
30.863692 11.323782
30.863692 11.855915
30.916905 12.494474
30.916905 13.186246
30.916905 13.824806
30.970119 14.463365
30.970119 14.995497
30.970119 15.527630
31.023332 16.112976
30.970119 16.698322
30.970119 17.177241
31.023332 17.762587
30.970119 18.347933
31.023332 18.933279
31.076545 19.571838
31.076545 20.157184
31.076545 20.742530
31.129758 21.327876
31.129758 22.019648
31.129758 22.711420
31.129758 23.403193
31.129758 24.094965
31.182972 24.627098
31.182972 25.372084
31.182972 25.957429
31.182972 26.755628
31.236185 27.394187
31.289398 28.085960
31.236185 28.777732
31.236185 29.522718
31.236185 30.161277
31.236185 30.853050
31.342612 31.544822
31.342612 32.289808
31.449038 32.981580
31.502251 33.673352
31.449038 34.418338
31.502251 35.163324
31.449038 35.642243
31.395825 36.227589
31.449038 36.812935
31.395825 37.398281
31.342612 37.877200
31.395825 38.515759
31.449038 39.207532
31.502251 39.952517
31.502251 40.591077
31.502251 41.336062
31.555465 42.027835
31.608678 42.613181
31.715104 43.198526
31.715104 43.837086
31.821531 44.369218
31.768318 45.060991
31.821531 45.699550
31.821531 46.391322
31.821531 46.976668
31.821531 47.615227
31.874744 48.360213
31.874744 48.945559
31.874744 49.530905
