# X_um	Y_um
18.983908 1.393700
18.918167 2.051106
18.852427 2.708512
18.852427 3.234437
18.852427 3.957583
18.852427 4.549248
18.852427 5.206654
18.786686 5.995541
18.786686 6.587206
18.852427 7.310353
18.786686 7.967759
18.786686 8.625164
18.786686 9.348311
18.720946 10.071457
18.720946 10.860344
18.720946 11.452009
18.720946 12.109415
18.720946 12.898302
18.655205 13.555708
18.786686 14.278854
18.655205 14.804779
18.655205 15.527925
18.655205 16.185331
18.589464 16.974218
18.589464 17.697365
18.589464 18.420511
18.589464 19.077917
18.655205 19.866804
18.523724 20.655691
18.589464 21.313097
18.523724 22.101984
18.523724 22.956611
18.523724 23.876979
18.457983 24.600126
18.392243 25.191791
18.457983 25.914937
18.392243 26.703824
18.392243 27.361230
18.392243 28.150117
18.392243 28.807523
18.392243 29.399188
18.392243 30.056594
18.392243 30.714000
18.326502 31.305665
18.326502 32.094552
18.326502 32.751958
18.326502 33.475104
18.326502 34.132510
18.260761 34.789916
18.260761 35.447322
18.326502 35.973246
18.326502 36.762133
18.326502 37.485280
18.260761 38.274167
18.260761 38.997313
18.195021 39.654719
18.195021 40.443606
18.195021 41.232493
18.195021 41.889899
18.195021 42.744526
18.195021 43.401932
18.129280 43.927857
