# X_um	Y_um
15.979329 2.615637
15.979329 3.076136
15.979329 3.490585
15.979329 3.905035
15.933279 4.365534
15.933279 4.826034
15.933279 5.332583
15.933279 5.793082
15.933279 6.345682
15.933279 6.898281
15.933279 7.404830
15.933279 7.865330
15.979329 8.325829
15.979329 8.786328
15.979329 9.338928
15.979329 9.891527
15.979329 10.398076
15.979329 10.858576
15.979329 11.319075
15.979329 11.825624
15.979329 12.332174
15.933279 12.838723
15.933279 13.345272
15.979329 13.805772
15.933279 14.266271
15.933279 14.726770
15.933279 15.279370
15.933279 15.785919
15.933279 16.292468
15.933279 16.845068
15.933279 17.397667
15.933279 17.950266
15.933279 18.364716
15.933279 18.917315
15.887229 19.423864
15.887229 19.930413
15.887229 20.436963
15.887229 20.897462
15.887229 21.404011
15.887229 21.910561
15.887229 22.278960
15.887229 22.831560
15.887229 23.384159
15.887229 23.890708
15.887229 24.351208
15.887229 24.857757
15.887229 25.456406
15.887229 26.055055
15.841179 26.607655
15.887229 27.160254
15.841179 27.712853
15.887229 28.311502
15.841179 28.956201
15.887229 29.554851
15.887229 30.245600
15.887229 30.890299
15.887229 31.534998
15.841179 32.041547
15.841179 32.640196
15.887229 33.146746
15.887229 33.745395
15.887229 34.344044
15.887229 34.850594
15.841179 35.403193
15.887229 35.863692
15.841179 36.416291
15.841179 36.968891
15.841179 37.567540
15.841179 38.166189
15.841179 38.810888
15.841179 39.455587
15.841179 40.054237
15.841179 40.698936
15.841179 41.297585
15.841179 41.896234
15.841179 42.494883
15.841179 43.001433
