x_split	fit_v1_file_name	fit_v1_file_time	fit_v1_parabola_a	fit_v1_parabola_b	fit_v1_parabola_c	fit_v1_parabola_a_err	fit_v1_parabola_b_err	fit_v1_parabola_c_err	fit_v1_line_m	fit_v1_line_q	fit_v1_line_m_err	fit_v1_line_q_err	fit_v1_d0	fit_v1_L	fit_v1_d0_err	fit_v1_L_err	fit_v1_x	fit_v1_d_signed	fit_v1_d_abs	fit_v1_d_fit	fit_v1_theta_x	fit_v1_theta	|	direct_pre_file_name	direct_pre_file_time	direct_post_file_name	direct_post_file_time	direct_sample_method	direct_n_samples	direct_registration_rmse	direct_d0	direct_L	direct_d0_err	direct_L_err	direct_x	direct_d_signed	direct_d_abs	direct_d_fit	direct_theta_x	direct_theta
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	0	0.0244295599	0.0244295599	0	36.766271	0	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	0	0.08716512756	0.08716512756	0	34.12970609	0
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	0.663119	-0.003722664028	0.003722664028	0	37.35571	0.0008085885715	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	0.3313563698	0.07776980203	0.07776980203	0	34.46106246	0.0003417993594
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	1.326238	0.04180511204	0.04180511204	0	38.534588	0.007277297105	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	0.6627127396	0.06837447651	0.06837447651	0	34.79241883	0.001367197437
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	1.841997	0.01990894731	0.01990894731	0	39.124027	0.01293741692	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	0.9940691093	0.09427059541	0.09427059541	0	35.1237752	0.003076194232
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	2.431436	-0.07879524702	0.07879524702	0	40.008186	0.02445981035	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	1.325425479	0.1082137028	0.1082137028	0	35.45513157	0.005468789734
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	2.947196	0.1203485458	0.1203485458	0	40.892345	0.03962085289	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	1.656781849	0.06154045775	0.06154045775	0	35.78648794	0.008544983922
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	3.462955	0.09845238106	0.09845238106	0	41.629144	0.05503457102	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	1.988138219	0.007762654566	0.007762654566	0	36.11784431	0.01230477675
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	5.304952	-0.05342823152	0.05342823152	0	42.439623	0.07490815086	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	2.319494588	-0.03719348932	0.03719348932	0	36.44920068	0.01674816814
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	5.894392	-0.004772468308	0.004772468308	0	42.881702	0.0870369514	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	2.650850958	0.02203538741	0.02203538741	0	36.78055705	0.02187515794
34	MBLG_cg26_Push2_0004	154852	-9.15543444e-05	0.04492777985	-0.03482745164	2.110930794e-05	0.00139684421	0.01914501556	0.04245425622	-0.0244295599	0.00100906651	0.02061489934	0.3363523307	29.17849056	12241954.71	353995633.5	6.631191	-0.1097327218	0.1097327218	0	43.765861	0.1140235333	|	MBLG_cg26_BeforePush_0003	150624	MBLG_cg26_Push2_0004	154852	arc_length	200	0.09386694252	0.583134345	31.81344035	8356305.431	151962027.1	2.982207328	0.1438749095	0.1438749095	0	37.11191342	0.02768574596
