# X_um	Y_um
21.985294 1.014706
21.985294 1.522059
21.900735 2.113971
21.985294 2.790441
21.985294 3.297794
21.985294 3.974265
21.985294 4.566176
22.069853 5.242647
21.985294 5.834559
22.069853 6.426471
22.069853 6.933824
21.985294 7.779412
22.069853 8.540441
21.985294 9.301471
22.069853 10.062500
22.069853 10.738971
22.154412 11.500000
22.154412 12.345588
22.154412 13.022059
22.154412 13.698529
22.154412 14.459559
22.154412 15.389706
22.154412 16.235294
22.238971 17.080882
22.154412 18.095588
22.238971 18.941176
22.238971 20.125000
22.238971 21.055147
22.323529 21.900735
22.323529 22.830882
22.238971 23.676471
22.238971 24.522059
22.323529 25.198529
22.323529 25.875000
22.323529 26.805147
22.408088 27.650735
22.323529 28.665441
22.408088 29.511029
22.323529 30.356618
22.323529 31.286765
22.323529 32.047794
22.323529 33.062500
22.323529 33.992647
22.323529 35.007353
22.238971 35.768382
22.323529 36.698529
22.323529 37.459559
22.323529 38.474265
22.238971 39.319853
22.323529 40.334559
22.323529 41.095588
22.323529 42.279412
22.323529 43.209559
