# X_um	Y_um
18.925587 1.864779
18.925587 2.439539
18.925587 2.886575
18.925587 3.525198
18.925587 4.163821
18.861724 4.802443
18.925587 5.377204
18.797862 5.951964
18.797862 6.590587
18.861724 7.165348
18.797862 7.803971
18.797862 8.442593
18.797862 9.081216
18.797862 9.719839
18.797862 10.486186
18.734000 11.316396
18.670137 12.082743
18.670137 12.721366
18.734000 13.359989
18.734000 14.062474
18.670137 14.764959
18.606275 15.403582
18.606275 16.106067
18.606275 16.808552
18.606275 17.447175
18.606275 18.213522
18.606275 18.852145
18.606275 19.490768
18.542413 20.129391
18.542413 20.768013
18.542413 21.406636
18.542413 22.109121
18.542413 22.747744
18.478551 23.386367
18.478551 24.024990
18.478551 24.663612
18.478551 25.429960
18.414688 26.132445
18.414688 26.962654
18.414688 27.665140
18.414688 28.367625
18.421075 29.063723
18.357212 29.638484
18.357212 30.340969
18.357212 31.107316
18.357212 31.809801
18.357212 32.512287
18.293350 33.150909
18.293350 33.789532
18.293350 34.428155
18.293350 35.130640
18.293350 35.705401
18.293350 36.344023
18.229488 37.110371
18.165625 37.812856
18.165625 38.451479
18.165625 39.090101
18.165625 39.792586
18.229488 40.367347
18.165625 41.005970
18.165625 41.580730
18.165625 42.155491
18.165625 42.730251
18.101763 43.241150
18.101763 43.752048
18.740386 10.862974
18.804248 10.096626
18.740386 11.629321
18.421075 26.381508
